,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Puerto Escondido,MX,79.9,overcast clouds,15.85,-97.0667,Hotel Barlovento
466,Hambantota,LK,76.33,scattered clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
467,Gigmoto,PH,83.64,overcast clouds,13.7796,124.39,No hotel found
468,Atar,MR,73.24,scattered clouds,20.5169,-13.0499,فندق سكليل
473,Samarai,PG,85.33,overcast clouds,-10.6167,150.6667,No hotel found
478,Jatai,BR,74.25,scattered clouds,-17.8814,-51.7144,Hotel Rio Claro
480,Poum,NC,77.77,broken clouds,-20.2333,164.0167,No hotel found
481,San Pedro,PH,83.35,broken clouds,14.35,121.0167,Hotel Takara
482,General Pico,AR,78.13,clear sky,-35.6566,-63.7568,Euskadi Hotel
485,Mpulungu,ZM,73.96,overcast clouds,-8.7623,31.1141,No hotel found
490,Phalaborwa,ZA,70.11,light rain,-23.943,31.1411,Hans Merensky Hotel & Estate
491,Codrington,AU,73.67,overcast clouds,-38.2667,141.9667,No hotel found
493,Port Moresby,PG,86.27,broken clouds,-9.4431,147.1797,The Sanctuary Hotel and Spa
494,Baturaja,ID,77.74,overcast clouds,-4.1333,104.1667,No hotel found
499,Calabozo,VE,78.01,broken clouds,8.9242,-67.4293,Best Western Hotel Plaza Real
502,Angoche,MZ,74.64,clear sky,-16.2325,39.9086,Hotel Quirimbas
503,Madang,PG,87.89,overcast clouds,-5.2246,145.7966,Madang Star International
506,Karratha,AU,89.67,clear sky,-20.7377,116.8463,Karratha International Hotel
514,Zhuhai,CN,73.18,scattered clouds,22.2769,113.5678,No hotel found
515,Port Blair,IN,75.24,scattered clouds,11.6667,92.75,Andaman Ocean Breeze
516,Balsas,BR,73.62,overcast clouds,-7.5325,-46.0356,Imperial Hotel
517,Mudgee,AU,73.78,broken clouds,-32.5943,149.5871,Oriental Hotel
518,Vung Tau,VN,80.62,broken clouds,10.346,107.0843,No hotel found
519,Moron,AR,71.06,clear sky,-34.6534,-58.6198,La Esquina
522,Saint Pete Beach,US,75.25,mist,27.7253,-82.7412,Grand Plaza Hotel
525,Champerico,GT,80.37,light rain,14.3,-91.9167,Hotel y Restaurante El Submarino
535,Trairi,BR,78.35,overcast clouds,-3.2778,-39.2689,No hotel found
536,Itacoatiara,BR,82.2,overcast clouds,-3.1431,-58.4442,Regine's Hotel
537,Ambilobe,MG,71.91,clear sky,-13.2,49.05,Hôtel National
541,Presidencia Roque Saenz Pena,AR,75.88,overcast clouds,-26.7852,-60.4388,Hotel Presidente
543,San Carlos Del Zulia,VE,76.44,broken clouds,9.0,-71.9135,Hotel Bolívar
547,Dhidhdhoo,MV,80.11,overcast clouds,6.8833,73.1,No hotel found
550,Cayenne,GF,77.04,overcast clouds,4.9333,-52.3333,Central Hôtel
551,Nishihara,JP,76.28,broken clouds,26.1842,127.7558,ユインチホテル南城
553,Alice Springs,AU,76.55,overcast clouds,-23.7,133.8833,Aurora Alice Springs
554,San Martin,AR,83.12,light rain,-33.081,-68.4681,Hotel Lacava
555,Wukari,NG,72.63,scattered clouds,7.85,9.7833,No hotel found
556,Sijunjung,ID,76.33,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
561,Isla Mujeres,MX,78.85,overcast clouds,21.2311,-86.731,Villa La Bella
562,Bajil,YE,77.27,clear sky,15.0584,43.2851,فندق و أجنحة الشرق الأوسط
565,Sola,VU,82.27,broken clouds,-13.8833,167.55,No hotel found
567,Lagunas,PE,77.61,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
568,Rantepao,ID,78.71,overcast clouds,-2.9701,119.8978,Hotel Indra Toraja
569,Berbera,SO,76.05,clear sky,10.4396,45.0143,Al Madina Hotel
571,Hobyo,SO,78.62,clear sky,5.3505,48.5268,No hotel found
574,Alofi,NU,78.58,clear sky,-19.0595,-169.9187,No hotel found
578,Cuamba,MZ,73.2,clear sky,-14.8031,36.5372,Pensao Cariaco
579,Ahuimanu,US,78.51,few clouds,21.4447,-157.8378,No hotel found
581,Nieuw Amsterdam,SR,80.02,overcast clouds,5.8833,-55.0833,Leonsberg Lodge
